job_id,search_role,skill
OVE2TEJubEx5SldoSFd0cUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa1ZNU2xGdlMzWk5WemcyU1c1bldWb3pkMnhhVkc1cmJVMW1Vbll5WHpKVlNVcHpPVGRWUkc5dk1sbFlXazVUZUV0eFJGbzBRakp5YzFwclQySkhha2RuUjI1UWVIVTFWREY0ZG5WM1pWbHVXRVJ4YWxoTlV6TklZWGxvTlhkVlJHNTBkV3BxVUdaTU5tZHRXRjg1TnpsWVYwdHplbWhwYlRjd1JXdEdZVk5TUWpVeFdIVVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU1prMWhWMjEwWkdOU2FYbG9hWEJaVjI1VWNYSTFiVkJpVGpCMw,Data Analyst,Power BI
OVE2TEJubEx5SldoSFd0cUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa1ZNU2xGdlMzWk5WemcyU1c1bldWb3pkMnhhVkc1cmJVMW1Vbll5WHpKVlNVcHpPVGRWUkc5dk1sbFlXazVUZUV0eFJGbzBRakp5YzFwclQySkhha2RuUjI1UWVIVTFWREY0ZG5WM1pWbHVXRVJ4YWxoTlV6TklZWGxvTlhkVlJHNTBkV3BxVUdaTU5tZHRXRjg1TnpsWVYwdHplbWhwYlRjd1JXdEdZVk5TUWpVeFdIVVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU1prMWhWMjEwWkdOU2FYbG9hWEJaVjI1VWNYSTFiVkJpVGpCMw,Data Analyst,Tableau
OVE2TEJubEx5SldoSFd0cUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTa1ZNU2xGdlMzWk5WemcyU1c1bldWb3pkMnhhVkc1cmJVMW1Vbll5WHpKVlNVcHpPVGRWUkc5dk1sbFlXazVUZUV0eFJGbzBRakp5YzFwclQySkhha2RuUjI1UWVIVTFWREY0ZG5WM1pWbHVXRVJ4YWxoTlV6TklZWGxvTlhkVlJHNTBkV3BxVUdaTU5tZHRXRjg1TnpsWVYwdHplbWhwYlRjd1JXdEdZVk5TUWpVeFdIVVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU1prMWhWMjEwWkdOU2FYbG9hWEJaVjI1VWNYSTFiVkJpVGpCMw,Data Analyst,Excel
NDE1bFJrbHpLYW9ZMVdydEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbEJxT0ZWMmMyMUJWbFU0VDAwMWIyOXBlVmhxV25CTFJrbHdWVGhNWjNSTlFtSm1lVWhIU1RWdGIxZzBURE5uYzJNMU9XaFBPR1pqVUROMGFrTlBiWFV5YmxjdFdqZGhkVUpmUTNCeVRHTnBZV1pxZFVSWFpqSnRZVlJmVTBST1ZIZEJPRzFwZDNKTk1tazBURGQxUkdWdmQwaEllbUpzVWxsZk5qTmxXVE0xWlZwdVlWZ1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUk1VeENZVWhDUjA5aVQyTkhZMUE1VEhrMGFGVk9MVk01ZUhobg,Data Analyst,Python
NDE1bFJrbHpLYW9ZMVdydEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbEJxT0ZWMmMyMUJWbFU0VDAwMWIyOXBlVmhxV25CTFJrbHdWVGhNWjNSTlFtSm1lVWhIU1RWdGIxZzBURE5uYzJNMU9XaFBPR1pqVUROMGFrTlBiWFV5YmxjdFdqZGhkVUpmUTNCeVRHTnBZV1pxZFVSWFpqSnRZVlJmVTBST1ZIZEJPRzFwZDNKTk1tazBURGQxUkdWdmQwaEllbUpzVWxsZk5qTmxXVE0xWlZwdVlWZ1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUk1VeENZVWhDUjA5aVQyTkhZMUE1VEhrMGFGVk9MVk01ZUhobg,Data Analyst,Java
NDE1bFJrbHpLYW9ZMVdydEFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTbEJxT0ZWMmMyMUJWbFU0VDAwMWIyOXBlVmhxV25CTFJrbHdWVGhNWjNSTlFtSm1lVWhIU1RWdGIxZzBURE5uYzJNMU9XaFBPR1pqVUROMGFrTlBiWFV5YmxjdFdqZGhkVUpmUTNCeVRHTnBZV1pxZFVSWFpqSnRZVlJmVTBST1ZIZEJPRzFwZDNKTk1tazBURGQxUkdWdmQwaEllbUpzVWxsZk5qTmxXVE0xWlZwdVlWZ1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUk1VeENZVWhDUjA5aVQyTkhZMUE1VEhrMGFGVk9MVk01ZUhobg,Data Analyst,Machine Learning
S2IyeWx4cU4zVHRZYWloakFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBUREYzYVRCMlpGTnJXR3gyU1ZwQlUxUlVUVk01WDNwVk5FUnlSVzl6WlVWaVJGY3dPQzFFZFdKdGNFbzVjekJpWVdSb1RWWkVZbEpJTkRCc1puRlhVRFpWU3pNNFRHYzVNWEp1VmpCcFVuZzNZekpmVEZvd1ZsRndjSFJhYmpsTllTMUZibGh6U21wWUxYcENWamhKYmxNM2IzaFBjMEl0ZWpsVlZEQnVjR3hWUm5rNWMxa1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUldGSTBTRmx4T1RkME5tWXdaVXhVWm5WNGRGTlNTM1JFWHpKUg,Data Analyst,Excel
NWdSUWdHTzljOWhxZVRCSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURGhDTVhkdk5ISkNNM0ozYVVzNVZHWkpkVGRHVEVaMVFuZHZiV3RCWTFWb1kyOU5Va2RFYzNaYU0xSllaSFEyY1UxTFZHbFJNMmh1ZDJFMWFGcElhVlpHVHpOVVRHdHZRMTlQTWxaSllXSjRNVkJ3Y1VFM1NGZDBPRk5pTmt0VU1VWkVla2t5YkVSZmVuZE5Sa2xDZVRGVFlqZDFkR2xNZUZWM1JFOU9hRTVOUkdkbVUwSVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU2VtOU1RM1o1WldrNWR6WnNVMlY0VTBoSFZFOTRkemhQZEV0Ug,Data Analyst,SQL
NWdSUWdHTzljOWhxZVRCSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURGhDTVhkdk5ISkNNM0ozYVVzNVZHWkpkVGRHVEVaMVFuZHZiV3RCWTFWb1kyOU5Va2RFYzNaYU0xSllaSFEyY1UxTFZHbFJNMmh1ZDJFMWFGcElhVlpHVHpOVVRHdHZRMTlQTWxaSllXSjRNVkJ3Y1VFM1NGZDBPRk5pTmt0VU1VWkVla2t5YkVSZmVuZE5Sa2xDZVRGVFlqZDFkR2xNZUZWM1JFOU9hRTVOUkdkbVUwSVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU2VtOU1RM1o1WldrNWR6WnNVMlY0VTBoSFZFOTRkemhQZEV0Ug,Data Analyst,Power BI
NWdSUWdHTzljOWhxZVRCSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURGhDTVhkdk5ISkNNM0ozYVVzNVZHWkpkVGRHVEVaMVFuZHZiV3RCWTFWb1kyOU5Va2RFYzNaYU0xSllaSFEyY1UxTFZHbFJNMmh1ZDJFMWFGcElhVlpHVHpOVVRHdHZRMTlQTWxaSllXSjRNVkJ3Y1VFM1NGZDBPRk5pTmt0VU1VWkVla2t5YkVSZmVuZE5Sa2xDZVRGVFlqZDFkR2xNZUZWM1JFOU9hRTVOUkdkbVUwSVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU2VtOU1RM1o1WldrNWR6WnNVMlY0VTBoSFZFOTRkemhQZEV0Ug,Data Analyst,Excel
